indicator_id,geo_level,geo_name,year,period,sex,age_group,education,group_type,group,standardization,value,unit,ci_lower,ci_upper,n,source_id,source_ref,source_url,note
htp_current,germany,Deutschland,2018,2018,gesamt,18–64,gesamt,,,beobachtet,0.8,percent,,,,bgs_bayern,"Suchtmonitoring Bayern 1: Rauchen (2021), S. 4",https://www.lgl.bayern.de/publikationen/gesundheit/doc/gesundheitsreport_01_2021.pdf,"30-Tage-Prävalenz von Tabakerhitzern, Epidemiologischer Suchtsurvey (ESA) 2018; zitiert nach LGL"
lung_cancer_incidence,germany,Deutschland,2000,2000,weiblich,15–29,gesamt,,,altersstandardisiert,0.29,per_100000,,,20.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,weiblich,30–44,gesamt,,,altersstandardisiert,4.86,per_100000,,,450.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,weiblich,45–64,gesamt,,,altersstandardisiert,40.3,per_100000,,,4390.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,weiblich,65–79,gesamt,,,altersstandardisiert,90.09,per_100000,,,5550.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,weiblich,80+,gesamt,,,altersstandardisiert,85.3,per_100000,,,1870.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,weiblich,gesamt,gesamt,,,altersstandardisiert,29.06,per_100000,,,12290.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2001,2001,gesamt,0–14,gesamt,,,altersstandardisiert,0.0,per_100000,,,0.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2001,2001,gesamt,15–29,gesamt,,,altersstandardisiert,0.43,per_100000,,,60.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2001,2001,gesamt,30–44,gesamt,,,altersstandardisiert,6.01,per_100000,,,1180.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2001,2001,gesamt,45–64,gesamt,,,altersstandardisiert,75.0,per_100000,,,16530.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2001,2001,gesamt,65–79,gesamt,,,altersstandardisiert,222.36,per_100000,,,23760.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
